Date,BAA,BAArate
2000-01-01,8.33,
2000-02-01,8.29,-0.004801920768307433
2000-03-01,8.37,0.00965018094089265
2000-04-01,8.4,0.0035842293906811484
2000-05-01,8.9,0.059523809523809534
2000-06-01,8.48,-0.04719101123595504
2000-07-01,8.35,-0.015330188679245405
2000-08-01,8.26,-0.010778443113772407
2000-09-01,8.35,0.010895883777239712
2000-10-01,8.34,-0.0011976047904190823
2000-11-01,8.28,-0.007194244604316613
2000-12-01,8.02,-0.03140096618357491
2001-01-01,7.93,-0.01122194513715713
2001-02-01,7.87,-0.007566204287515754
2001-03-01,7.84,-0.003811944091486663
2001-04-01,8.07,0.029336734693877542
2001-05-01,8.07,0.0
2001-06-01,7.97,-0.01239157372986377
2001-07-01,7.97,0.0
2001-08-01,7.85,-0.01505646173149311
2001-09-01,8.03,0.02292993630573248
2001-10-01,7.91,-0.01494396014943955
2001-11-01,7.81,-0.012642225031605614
2001-12-01,8.05,0.030729833546735197
2002-01-01,7.87,-0.022360248447205078
2002-02-01,7.89,0.0025412960609909607
2002-03-01,8.11,0.027883396704689423
2002-04-01,8.03,-0.009864364981504337
2002-05-01,8.09,0.007471980074719831
2002-06-01,7.95,-0.017305315203955507
2002-07-01,7.9,-0.0062893081761006275
2002-08-01,7.58,-0.040506329113924044
2002-09-01,7.4,-0.0237467018469657
2002-10-01,7.73,0.044594594594594694
2002-11-01,7.62,-0.014230271668822847
2002-12-01,7.45,-0.022309711286089273
2003-01-01,7.35,-0.0134228187919464
2003-02-01,7.06,-0.039455782312925125
2003-03-01,6.95,-0.015580736543909235
2003-04-01,6.85,-0.014388489208633115
2003-05-01,6.38,-0.06861313868613139
2003-06-01,6.19,-0.029780564263322762
2003-07-01,6.62,0.06946688206785123
2003-08-01,7.01,0.05891238670694854
2003-09-01,6.79,-0.031383737517831634
2003-10-01,6.73,-0.008836524300441795
2003-11-01,6.66,-0.010401188707280906
2003-12-01,6.6,-0.009009009009009028
2004-01-01,6.44,-0.024242424242424176
2004-02-01,6.27,-0.026397515527950444
2004-03-01,6.11,-0.02551834130781483
2004-04-01,6.46,0.057283142389525255
2004-05-01,6.75,0.04489164086687314
2004-06-01,6.78,0.004444444444444473
2004-07-01,6.62,-0.02359882005899705
2004-08-01,6.46,-0.024169184290030232
2004-09-01,6.27,-0.02941176470588236
2004-10-01,6.21,-0.009569377990430561
2004-11-01,6.2,-0.0016103059581320522
2004-12-01,6.15,-0.008064516129032251
2005-01-01,6.02,-0.021138211382113914
2005-02-01,5.82,-0.03322259136212613
2005-03-01,6.06,0.04123711340206171
2005-04-01,6.05,-0.0016501650165016146
2005-05-01,6.01,-0.006611570247933907
2005-06-01,5.86,-0.024958402662229484
2005-07-01,5.95,0.015358361774743923
2005-08-01,5.96,0.001680672268907557
2005-09-01,6.03,0.011744966442952975
2005-10-01,6.3,0.04477611940298498
2005-11-01,6.39,0.014285714285714235
2005-12-01,6.32,-0.010954616588419341
2006-01-01,6.24,-0.012658227848101222
2006-02-01,6.27,0.004807692307692291
2006-03-01,6.41,0.02232854864433831
2006-04-01,6.68,0.04212168486739465
2006-05-01,6.75,0.010479041916167775
2006-06-01,6.78,0.004444444444444473
2006-07-01,6.76,-0.002949852507374673
2006-08-01,6.59,-0.025147928994082802
2006-09-01,6.43,-0.02427921092564489
2006-10-01,6.42,-0.0015552099533436836
2006-11-01,6.2,-0.034267912772585674
2006-12-01,6.22,0.003225806451612856
2007-01-01,6.34,0.019292604501607746
2007-02-01,6.28,-0.009463722397476282
2007-03-01,6.27,-0.0015923566878981443
2007-04-01,6.39,0.019138755980861344
2007-05-01,6.39,0.0
2007-06-01,6.7,0.04851330203442883
2007-07-01,6.65,-0.007462686567164201
2007-08-01,6.65,0.0
2007-09-01,6.59,-0.009022556390977488
2007-10-01,6.48,-0.01669195751138075
2007-11-01,6.4,-0.012345679012345734
2007-12-01,6.65,0.0390625
2008-01-01,6.54,-0.016541353383458746
2008-02-01,6.82,0.042813455657492394
2008-03-01,6.89,0.01026392961876832
2008-04-01,6.97,0.011611030478954953
2008-05-01,6.93,-0.0057388809182209455
2008-06-01,7.07,0.020202020202020332
2008-07-01,7.16,0.012729844413012614
2008-08-01,7.15,-0.0013966480446927498
2008-09-01,7.31,0.022377622377622197
2008-10-01,8.88,0.21477428180574565
2008-11-01,9.21,0.03716216216216206
2008-12-01,8.43,-0.08469055374592849
2009-01-01,8.14,-0.03440094899169621
2009-02-01,8.08,-0.0073710073710073765
2009-03-01,8.42,0.04207920792079212
2009-04-01,8.39,-0.0035629453681709222
2009-05-01,8.06,-0.03933253873659115
2009-06-01,7.5,-0.06947890818858571
2009-07-01,7.09,-0.05466666666666664
2009-08-01,6.58,-0.07193229901269393
2009-09-01,6.31,-0.04103343465045595
2009-10-01,6.29,-0.0031695721077653616
2009-11-01,6.32,0.004769475357710773
2009-12-01,6.37,0.007911392405063333
2010-01-01,6.25,-0.01883830455259028
2010-02-01,6.34,0.014399999999999968
2010-03-01,6.27,-0.01104100946372244
2010-04-01,6.25,-0.0031897926634768536
2010-05-01,6.05,-0.03200000000000003
2010-06-01,6.23,0.02975206611570247
2010-07-01,6.01,-0.03531300160513651
2010-08-01,5.66,-0.05823627287853572
2010-09-01,5.66,0.0
2010-10-01,5.72,0.010600706713780772
2010-11-01,5.92,0.034965034965035
2010-12-01,6.1,0.03040540540540526
2011-01-01,6.09,-0.0016393442622950616
2011-02-01,6.15,0.009852216748768461
2011-03-01,6.03,-0.019512195121951237
2011-04-01,6.02,-0.0016583747927032544
2011-05-01,5.78,-0.03986710963455142
2011-06-01,5.75,-0.005190311418685201
2011-07-01,5.76,0.0017391304347824654
2011-08-01,5.36,-0.06944444444444431
2011-09-01,5.27,-0.01679104477611959
2011-10-01,5.37,0.018975332068311257
2011-11-01,5.14,-0.04283054003724407
2011-12-01,5.25,0.021400778210116878
2012-01-01,5.23,-0.003809523809523707
2012-02-01,5.14,-0.017208413001912226
2012-03-01,5.23,0.017509727626459304
2012-04-01,5.19,-0.007648183556405397
2012-05-01,5.07,-0.023121387283236983
2012-06-01,5.02,-0.009861932938856177
2012-07-01,4.87,-0.029880478087649265
2012-08-01,4.91,0.008213552361396204
2012-09-01,4.84,-0.014256619144602856
2012-10-01,4.58,-0.05371900826446274
2012-11-01,4.51,-0.015283842794759916
2012-12-01,4.63,0.026607538802660757
2013-01-01,4.73,0.02159827213822907
2013-02-01,4.85,0.025369978858350795
2013-03-01,4.85,0.0
2013-04-01,4.59,-0.05360824742268033
2013-05-01,4.73,0.030501089324618924
2013-06-01,5.19,0.09725158562367864
2013-07-01,5.32,0.025048169556840083
2013-08-01,5.42,0.018796992481203034
2013-09-01,5.47,0.009225092250922495
2013-10-01,5.31,-0.029250457038391242
2013-11-01,5.38,0.01318267419962349
2013-12-01,5.38,0.0
2014-01-01,5.19,-0.03531598513011147
2014-02-01,5.1,-0.017341040462427904
2014-03-01,5.06,-0.007843137254901933
2014-04-01,4.9,-0.03162055335968361
2014-05-01,4.76,-0.028571428571428692
2014-06-01,4.8,0.008403361344537785
2014-07-01,4.73,-0.01458333333333317
2014-08-01,4.69,-0.008456659619450302
2014-09-01,4.8,0.023454157782515805
2014-10-01,4.69,-0.022916666666666585
2014-11-01,4.79,0.021321961620468954
2014-12-01,4.74,-0.010438413361169019
2015-01-01,4.45,-0.06118143459915615
2015-02-01,4.51,0.01348314606741563
2015-03-01,4.54,0.006651884700665134
2015-04-01,4.48,-0.013215859030836885
2015-05-01,4.89,0.09151785714285698
2015-06-01,5.13,0.04907975460122693
2015-07-01,5.2,0.013645224171540127
2015-08-01,5.19,-0.0019230769230769162
2015-09-01,5.34,0.028901734104046062
2015-10-01,5.34,0.0
2015-11-01,5.46,0.022471910112359605
2015-12-01,5.46,0.0
2016-01-01,5.45,-0.001831501831501825
2016-02-01,5.34,-0.020183486238532167
2016-03-01,5.13,-0.0393258426966292
2016-04-01,4.79,-0.06627680311890838
2016-05-01,4.68,-0.022964509394572064
2016-06-01,4.53,-0.03205128205128194
2016-07-01,4.22,-0.06843267108167783
2016-08-01,4.24,0.004739336492891155
2016-09-01,4.31,0.01650943396226401
2016-10-01,4.38,0.016241299303944468
2016-11-01,4.71,0.07534246575342474
2016-12-01,4.83,0.02547770700636942
2017-01-01,4.66,-0.035196687370600444
2017-02-01,4.64,-0.0042918454935623185
2017-03-01,4.68,0.008620689655172376
2017-04-01,4.57,-0.02350427350427342
2017-05-01,4.55,-0.004376367614879806
2017-06-01,4.37,-0.03956043956043953
2017-07-01,4.39,0.004576659038901587
2017-08-01,4.31,-0.018223234624145768
2017-09-01,4.3,-0.002320185614849146
2017-10-01,4.32,0.0046511627906977715
2017-11-01,4.27,-0.011574074074074292
2017-12-01,4.22,-0.011709601873536313
2018-01-01,4.26,0.009478672985782088
2018-02-01,4.51,0.05868544600938974
2018-03-01,4.64,0.02882483370288247
2018-04-01,4.67,0.006465517241379448
2018-05-01,4.83,0.03426124197002145
2018-06-01,4.83,0.0
2018-07-01,4.79,-0.008281573498964856
2018-08-01,4.77,-0.0041753653444677186
2018-09-01,4.88,0.023060796645702375
2018-10-01,5.07,0.03893442622950838
2018-11-01,5.22,0.029585798816567976
2018-12-01,5.13,-0.01724137931034475
2019-01-01,5.12,-0.0019493177387913674
2019-02-01,4.95,-0.033203125
2019-03-01,4.84,-0.022222222222222254
2019-04-01,4.7,-0.028925619834710647
2019-05-01,4.63,-0.014893617021276673
2019-06-01,4.46,-0.036717062634989195
2019-07-01,4.28,-0.04035874439461873
2019-08-01,3.87,-0.09579439252336452
2019-09-01,3.91,0.010335917312661591
2019-10-01,3.92,0.002557544757033181
2019-11-01,3.94,0.005102040816326481
2019-12-01,3.88,-0.015228426395939132
2020-01-01,,
2020-02-01,,
2020-03-01,,
