Date,CPIAUCSL,CPIAUCSLrate
2000-01-01,169.3,
2000-02-01,170.0,0.0041346721795627595
2000-03-01,171.0,0.00588235294117645
2000-04-01,170.9,-0.0005847953216373547
2000-05-01,171.2,0.0017554125219425565
2000-06-01,172.2,0.005841121495327117
2000-07-01,172.7,0.0029036004645761615
2000-08-01,172.7,0.0
2000-09-01,173.6,0.005211349160393786
2000-10-01,173.9,0.001728110599078514
2000-11-01,174.2,0.0017251293847038163
2000-12-01,174.6,0.0022962112514350874
2001-01-01,175.6,0.00572737686139746
2001-02-01,176.0,0.002277904328018332
2001-03-01,176.1,0.0005681818181817455
2001-04-01,176.4,0.0017035775127769437
2001-05-01,177.3,0.005102040816326481
2001-06-01,177.7,0.002256063169768563
2001-07-01,177.4,-0.0016882386043892694
2001-08-01,177.4,0.0
2001-09-01,178.1,0.003945885005636862
2001-10-01,177.6,-0.0028074115665356336
2001-11-01,177.5,-0.0005630630630630851
2001-12-01,177.4,-0.0005633802816901179
2002-01-01,177.7,0.0016910935738443378
2002-02-01,178.0,0.0016882386043894915
2002-03-01,178.5,0.002808988764045006
2002-04-01,179.3,0.004481792717086819
2002-05-01,179.5,0.001115448968209698
2002-06-01,179.6,0.0005571030640667551
2002-07-01,180.0,0.00222717149220486
2002-08-01,180.5,0.002777777777777768
2002-09-01,180.8,0.0016620498614958734
2002-10-01,181.2,0.0022123893805308104
2002-11-01,181.5,0.0016556291390728006
2002-12-01,181.8,0.0016528925619836432
2003-01-01,182.6,0.004400440044004306
2003-02-01,183.6,0.005476451259583737
2003-03-01,183.9,0.0016339869281045694
2003-04-01,183.2,-0.0038064165307233333
2003-05-01,182.9,-0.0016375545851528006
2003-06-01,183.1,0.0010934937124111865
2003-07-01,183.7,0.003276897870016393
2003-08-01,184.5,0.004354926510615087
2003-09-01,185.1,0.003252032520325132
2003-10-01,184.9,-0.0010804970286331095
2003-11-01,185.0,0.0005408328826392861
2003-12-01,185.5,0.002702702702702675
2004-01-01,186.3,0.004312668463611891
2004-02-01,186.7,0.0021470746108425143
2004-03-01,187.1,0.002142474558114671
2004-04-01,187.4,0.0016034206306787535
2004-05-01,188.2,0.004268943436499306
2004-06-01,188.9,0.0037194473963868546
2004-07-01,189.1,0.001058761249338236
2004-08-01,189.2,0.0005288207297726721
2004-09-01,189.8,0.003171247357294016
2004-10-01,190.8,0.005268703898840821
2004-11-01,191.7,0.004716981132075304
2004-12-01,191.7,0.0
2005-01-01,191.6,-0.0005216484089722861
2005-02-01,192.4,0.0041753653444676075
2005-03-01,193.1,0.0036382536382535413
2005-04-01,193.7,0.0031071983428274663
2005-05-01,193.6,-0.0005162622612286949
2005-06-01,193.7,0.0005165289256197081
2005-07-01,194.9,0.006195147134744561
2005-08-01,196.1,0.0061570035915854415
2005-09-01,198.8,0.013768485466598701
2005-10-01,199.1,0.0015090543259557165
2005-11-01,198.1,-0.0050226017076845375
2005-12-01,198.1,0.0
2006-01-01,199.3,0.006057546693589266
2006-02-01,199.4,0.0005017561465128217
2006-03-01,199.7,0.0015045135406217547
2006-04-01,200.7,0.005007511266900355
2006-05-01,201.3,0.002989536621823774
2006-06-01,201.8,0.0024838549428713996
2006-07-01,202.9,0.005450941526263575
2006-08-01,203.8,0.004435682602267121
2006-09-01,202.8,-0.004906771344455385
2006-10-01,201.9,-0.004437869822485285
2006-11-01,202.0,0.0004952947003467045
2006-12-01,203.1,0.00544554455445545
2007-01-01,203.437,0.001659281142294633
2007-02-01,204.226,0.003878350545869269
2007-03-01,205.288,0.005200121434097538
2007-04-01,205.904,0.003000662483924943
2007-05-01,206.755,0.004132994016629032
2007-06-01,207.234,0.0023167517109623503
2007-07-01,207.603,0.0017805958481715844
2007-08-01,207.667,0.00030828070885302594
2007-09-01,208.547,0.0042375533907650365
2007-10-01,209.19,0.0030832378312801723
2007-11-01,210.834,0.007858884267890387
2007-12-01,211.445,0.002898014551732553
2008-01-01,212.174,0.003447705076970342
2008-02-01,212.687,0.0024178268779397882
2008-03-01,213.448,0.003578027806118822
2008-04-01,213.942,0.002314381020201539
2008-05-01,215.208,0.0059174916566171465
2008-06-01,217.463,0.0104782350098509
2008-07-01,219.016,0.007141444751521009
2008-08-01,218.69,-0.0014884757278006422
2008-09-01,218.877,0.0008550916822900323
2008-10-01,216.995,-0.008598436564828615
2008-11-01,213.153,-0.017705477084725474
2008-12-01,211.398,-0.008233522399403226
2009-01-01,211.933,0.0025307713412614508
2009-02-01,212.705,0.003642660652187324
2009-03-01,212.495,-0.000987282856538485
2009-04-01,212.709,0.0010070825195886979
2009-05-01,213.022,0.0014714939189219844
2009-06-01,214.79,0.008299612246622345
2009-07-01,214.726,-0.00029796545463012247
2009-08-01,215.445,0.0033484533777929926
2009-09-01,215.861,0.0019308872334005134
2009-10-01,216.509,0.003001931798703783
2009-11-01,217.234,0.0033485905897676638
2009-12-01,217.347,0.0005201763996427466
2010-01-01,217.488,0.0006487322116246474
