Date,UNRATENSA,UNRATENSArate
2010-02-01,10.4,-0.01886792452830177
2010-03-01,10.2,-0.019230769230769384
2010-04-01,9.5,-0.06862745098039214
2010-05-01,9.3,-0.021052631578947323
2010-06-01,9.6,0.032258064516129004
2010-07-01,9.7,0.01041666666666674
2010-08-01,9.5,-0.020618556701030855
2010-09-01,9.2,-0.03157894736842115
2010-10-01,9.0,-0.021739130434782483
2010-11-01,9.3,0.03333333333333344
2010-12-01,9.1,-0.021505376344086113
2011-01-01,9.8,0.0769230769230771
2011-02-01,9.5,-0.030612244897959218
2011-03-01,9.2,-0.03157894736842115
2011-04-01,8.7,-0.05434782608695654
2011-05-01,8.7,0.0
2011-06-01,9.3,0.06896551724137945
2011-07-01,9.3,0.0
2011-08-01,9.1,-0.021505376344086113
2011-09-01,8.8,-0.03296703296703285
2011-10-01,8.5,-0.03409090909090917
2011-11-01,8.2,-0.03529411764705892
2011-12-01,8.3,0.012195121951219745
2012-01-01,8.8,0.06024096385542177
2012-02-01,8.7,-0.011363636363636576
2012-03-01,8.4,-0.0344827586206895
2012-04-01,7.7,-0.08333333333333337
2012-05-01,7.9,0.025974025974025983
2012-06-01,8.4,0.06329113924050622
2012-07-01,8.6,0.023809523809523725
2012-08-01,8.2,-0.04651162790697683
2012-09-01,7.6,-0.07317073170731703
2012-10-01,7.5,-0.013157894736842035
2012-11-01,7.4,-0.013333333333333308
2012-12-01,7.6,0.027027027027026973
2013-01-01,8.5,0.11842105263157898
2013-02-01,8.1,-0.04705882352941182
2013-03-01,7.6,-0.06172839506172845
2013-04-01,7.1,-0.06578947368421051
2013-05-01,7.3,0.028169014084507005
2013-06-01,7.8,0.06849315068493156
2013-07-01,7.7,-0.012820512820512775
2013-08-01,7.3,-0.051948051948051965
2013-09-01,7.0,-0.041095890410958846
2013-10-01,7.0,0.0
2013-11-01,6.6,-0.05714285714285716
2013-12-01,6.5,-0.015151515151515138
2014-01-01,7.0,0.07692307692307687
2014-02-01,7.0,0.0
2014-03-01,6.8,-0.02857142857142858
2014-04-01,5.9,-0.13235294117647056
2014-05-01,6.1,0.03389830508474567
2014-06-01,6.3,0.032786885245901676
2014-07-01,6.5,0.031746031746031855
2014-08-01,6.3,-0.03076923076923077
2014-09-01,5.7,-0.09523809523809523
2014-10-01,5.5,-0.03508771929824561
2014-11-01,5.5,0.0
2014-12-01,5.4,-0.018181818181818077
2015-01-01,6.1,0.12962962962962954
2015-02-01,5.8,-0.0491803278688524
2015-03-01,5.6,-0.034482758620689724
2015-04-01,5.1,-0.0892857142857143
2015-05-01,5.3,0.03921568627450989
2015-06-01,5.5,0.037735849056603765
2015-07-01,5.6,0.018181818181818077
2015-08-01,5.2,-0.07142857142857129
2015-09-01,4.9,-0.05769230769230771
2015-10-01,4.8,-0.020408163265306256
2015-11-01,4.8,0.0
2015-12-01,4.8,0.0
2016-01-01,5.3,0.10416666666666674
2016-02-01,5.2,-0.01886792452830177
2016-03-01,5.1,-0.019230769230769384
2016-04-01,4.7,-0.07843137254901955
2016-05-01,4.5,-0.042553191489361764
2016-06-01,5.1,0.1333333333333333
2016-07-01,5.1,0.0
2016-08-01,5.0,-0.019607843137254832
2016-09-01,4.8,-0.040000000000000036
2016-10-01,4.7,-0.02083333333333326
2016-11-01,4.4,-0.06382978723404253
2016-12-01,4.5,0.022727272727272707
2017-01-01,5.1,0.1333333333333333
2017-02-01,4.9,-0.039215686274509665
2017-03-01,4.6,-0.061224489795918546
2017-04-01,4.1,-0.10869565217391308
2017-05-01,4.1,0.0
2017-06-01,4.5,0.09756097560975618
2017-07-01,4.6,0.022222222222222143
2017-08-01,4.5,-0.021739130434782483
2017-09-01,4.1,-0.08888888888888902
2017-10-01,3.9,-0.04878048780487798
2017-11-01,3.9,0.0
2017-12-01,3.9,0.0
2018-01-01,4.5,0.15384615384615397
2018-02-01,4.4,-0.022222222222222143
2018-03-01,4.1,-0.06818181818181834
2018-04-01,3.7,-0.09756097560975596
2018-05-01,3.6,-0.027027027027027084
2018-06-01,4.2,0.16666666666666674
2018-07-01,4.1,-0.023809523809523947
2018-08-01,3.9,-0.04878048780487798
2018-09-01,3.6,-0.07692307692307687
2018-10-01,3.5,-0.02777777777777779
2018-11-01,3.5,0.0
2018-12-01,3.7,0.05714285714285716
2019-01-01,4.4,0.18918918918918926
2019-02-01,4.1,-0.06818181818181834
2019-03-01,3.9,-0.04878048780487798
2019-04-01,3.3,-0.15384615384615385
2019-05-01,3.4,0.030303030303030276
2019-06-01,3.8,0.11764705882352944
2019-07-01,4.0,0.05263157894736836
2019-08-01,3.8,-0.050000000000000044
2019-09-01,3.3,-0.13157894736842102
2019-10-01,3.3,0.0
2019-11-01,3.3,0.0
2019-12-01,3.4,0.030303030303030276
2020-01-01,,
2020-02-01,,
2020-03-01,,
